graph_id,n,m,edges,best_k,best_ordering,best_coloring,num_orderings,num_optimal_orderings,image_path,max_degree,avg_degree,clique_number,num_deg_ge_2,num_deg_ge_3,num_deg_ge_5,num_isolated,num_components,component_sizes,density
11,8,11,"[[0, 1], [0, 2], [0, 4], [1, 5], [1, 6], [1, 7], [2, 3], [2, 7], [3, 4], [4, 5], [5, 7]]",3,"[2, 3, 0, 4, 1, 5, 7, 6]","{""7"": 1, ""2"": 1, ""0"": 2, ""1"": 2, ""4"": 3, ""5"": 3, ""3"": 3, ""6"": 2}",40320,140,out_dataset\three_color\graph_11.png,4,2.75,3,7,6,0,0,1,[8],0.39285714285714285
12,8,8,"[[0, 4], [0, 6], [1, 7], [3, 5], [3, 7], [4, 6], [5, 6], [6, 7]]",2,"[0, 4, 6, 5, 3, 7, 1, 2]","{""6"": 1, ""3"": 2, ""4"": 2, ""5"": 2, ""7"": 1, ""0"": 1, ""1"": 1, ""2"": 1}",40320,24,out_dataset\two_color\graph_12.png,4,2.0,3,6,2,0,1,2,"[7, 1]",0.2857142857142857
13,8,9,"[[0, 5], [0, 6], [0, 7], [1, 5], [2, 4], [2, 5], [3, 5], [5, 6], [5, 7]]",3,"[0, 6, 7, 5, 1, 2, 3, 4]","{""5"": 1, ""1"": 2, ""2"": 3, ""3"": 1, ""6"": 2, ""7"": 3, ""0"": 1, ""4"": 2}",40320,816,out_dataset\three_color\graph_13.png,6,2.25,3,5,2,1,0,1,[8],0.32142857142857145
14,8,9,"[[0, 3], [0, 4], [1, 4], [1, 6], [2, 4], [2, 5], [2, 6], [5, 7], [6, 7]]",2,"[0, 3, 1, 4, 2, 6, 5, 7]","{""1"": 1, ""4"": 2, ""6"": 1, ""0"": 2, ""2"": 2, ""3"": 1, ""5"": 2, ""7"": 1}",40320,32,out_dataset\two_color\graph_14.png,3,2.25,2,7,3,0,0,1,[8],0.32142857142857145
15,8,7,"[[0, 5], [0, 6], [1, 6], [2, 5], [3, 4], [4, 5], [6, 7]]",2,"[1, 0, 6, 7, 2, 5, 3, 4]","{""0"": 1, ""5"": 1, ""2"": 2, ""3"": 2, ""6"": 2, ""7"": 2, ""1"": 2, ""4"": 1}",40320,224,out_dataset\two_color\graph_15.png,3,1.75,2,4,2,0,0,1,[8],0.25
16,8,13,"[[0, 3], [1, 5], [1, 6], [1, 7], [2, 3], [2, 6], [2, 7], [3, 4], [3, 5], [3, 6], [4, 5], [5, 6], [6, 7]]",3,"[0, 4, 3, 2, 5, 6, 1, 7]","{""2"": 1, ""5"": 2, ""6"": 3, ""1"": 2, ""3"": 3, ""4"": 2, ""7"": 1, ""0"": 1}",40320,40,out_dataset\three_color\graph_16.png,5,3.25,3,7,6,2,0,1,[8],0.4642857142857143
17,8,8,"[[0, 1], [0, 3], [0, 4], [1, 2], [1, 3], [2, 3], [2, 5], [5, 7]]",2,"[4, 0, 1, 3, 2, 5, 6, 7]","{""1"": 1, ""3"": 2, ""6"": 1, ""0"": 2, ""2"": 1, ""5"": 2, ""7"": 2, ""4"": 1}",40320,36,out_dataset\two_color\graph_17.png,3,2.0,3,5,4,0,1,2,"[7, 1]",0.2857142857142857
18,8,10,"[[1, 5], [1, 6], [2, 5], [3, 5], [3, 6], [3, 7], [4, 5], [4, 7], [5, 6], [5, 7]]",3,"[0, 1, 2, 6, 5, 3, 4, 7]","{""5"": 1, ""2"": 2, ""3"": 2, ""4"": 3, ""6"": 3, ""1"": 1, ""7"": 1, ""0"": 1}",40320,368,out_dataset\three_color\graph_18.png,6,2.5,3,6,4,1,1,2,"[7, 1]",0.35714285714285715
19,8,10,"[[0, 2], [0, 4], [0, 5], [0, 7], [1, 3], [1, 6], [2, 3], [2, 5], [3, 7], [4, 5]]",2,"[1, 6, 3, 7, 2, 0, 5, 4]","{""0"": 1, ""2"": 2, ""5"": 2, ""7"": 1, ""3"": 2, ""6"": 1, ""1"": 2, ""4"": 1}",40320,8,out_dataset\two_color\graph_19.png,4,2.5,3,7,4,0,0,1,[8],0.35714285714285715
20,8,11,"[[0, 1], [0, 2], [0, 5], [1, 4], [1, 5], [1, 6], [2, 3], [3, 6], [4, 7], [5, 7], [6, 7]]",3,"[0, 2, 3, 1, 5, 6, 4, 7]","{""1"": 1, ""5"": 2, ""6"": 3, ""0"": 2, ""2"": 3, ""3"": 3, ""4"": 1, ""7"": 2}",40320,190,out_dataset\three_color\graph_20.png,4,2.75,3,8,5,0,0,1,[8],0.39285714285714285
21,8,12,"[[0, 1], [0, 3], [0, 4], [0, 6], [1, 7], [2, 5], [2, 6], [2, 7], [3, 6], [4, 6], [5, 7], [6, 7]]",3,"[1, 3, 0, 6, 4, 5, 7, 2]","{""7"": 1, ""1"": 1, ""6"": 2, ""0"": 3, ""4"": 3, ""5"": 3, ""2"": 2, ""3"": 2}",40320,144,out_dataset\three_color\graph_21.png,5,3.0,3,8,4,1,0,1,[8],0.42857142857142855
22,8,9,"[[0, 1], [0, 3], [1, 2], [1, 6], [2, 4], [2, 6], [2, 7], [3, 6], [5, 6]]",3,"[0, 1, 3, 2, 6, 4, 5, 7]","{""2"": 1, ""4"": 2, ""6"": 3, ""3"": 2, ""1"": 3, ""5"": 3, ""7"": 1, ""0"": 1}",40320,1084,out_dataset\three_color\graph_22.png,4,2.25,3,5,3,0,0,1,[8],0.32142857142857145
23,8,8,"[[0, 3], [0, 6], [1, 2], [1, 6], [2, 3], [2, 6], [3, 4], [3, 7]]",2,"[1, 2, 6, 0, 3, 4, 5, 7]","{""3"": 1, ""2"": 1, ""0"": 2, ""4"": 2, ""5"": 2, ""6"": 2, ""7"": 1, ""1"": 2}",40320,24,out_dataset\two_color\graph_23.png,4,2.0,3,5,3,0,1,2,"[7, 1]",0.2857142857142857
24,8,14,"[[0, 1], [0, 2], [0, 5], [0, 6], [0, 7], [1, 6], [2, 3], [2, 4], [2, 5], [2, 7], [3, 5], [3, 6], [3, 7], [4, 7]]",3,"[1, 6, 5, 0, 3, 2, 7, 4]","{""0"": 1, ""3"": 2, ""5"": 3, ""2"": 3, ""6"": 2, ""7"": 1, ""1"": 1, ""4"": 2}",40320,2,out_dataset\three_color\graph_24.png,5,3.5,3,8,6,2,0,1,[8],0.5
25,8,10,"[[0, 2], [0, 4], [0, 7], [1, 2], [1, 7], [2, 4], [2, 5], [2, 7], [4, 7], [6, 7]]",3,"[0, 4, 2, 7, 1, 3, 5, 6]","{""2"": 1, ""7"": 2, ""1"": 3, ""3"": 3, ""5"": 1, ""4"": 3, ""6"": 2, ""0"": 2}",40320,360,out_dataset\three_color\graph_25.png,5,2.5,4,5,4,2,1,2,"[7, 1]",0.35714285714285715
26,8,10,"[[0, 2], [0, 3], [0, 6], [0, 7], [1, 5], [1, 6], [1, 7], [2, 5], [3, 5], [4, 5]]",3,"[1, 6, 7, 0, 2, 3, 5, 4]","{""1"": 1, ""5"": 1, ""0"": 2, ""2"": 3, ""7"": 3, ""3"": 2, ""6"": 2, ""4"": 1}",40320,136,out_dataset\three_color\graph_26.png,4,2.5,2,7,3,0,0,1,[8],0.35714285714285715
27,8,8,"[[1, 4], [1, 5], [1, 6], [2, 5], [3, 4], [3, 6], [5, 6], [6, 7]]",2,"[0, 2, 7, 5, 6, 1, 3, 4]","{""1"": 1, ""3"": 2, ""5"": 1, ""6"": 2, ""7"": 2, ""2"": 1, ""4"": 1, ""0"": 1}",40320,24,out_dataset\two_color\graph_27.png,4,2.0,3,5,3,0,1,2,"[7, 1]",0.2857142857142857
28,8,16,"[[0, 1], [0, 2], [0, 5], [0, 6], [1, 3], [1, 5], [1, 6], [1, 7], [2, 4], [2, 6], [3, 4], [3, 6], [4, 7], [5, 6], [5, 7], [6, 7]]",4,"[0, 2, 5, 1, 6, 4, 7, 3]","{""1"": 1, ""6"": 2, ""4"": 3, ""5"": 4, ""2"": 3, ""7"": 4, ""0"": 2, ""3"": 1}",40320,260,out_dataset\other_color\graph_28.png,6,4.0,4,8,8,2,0,1,[8],0.5714285714285714
29,8,11,"[[0, 1], [2, 3], [2, 6], [3, 4], [3, 5], [3, 6], [4, 5], [4, 7], [5, 6], [5, 7], [6, 7]]",3,"[0, 1, 2, 3, 4, 6, 5, 7]","{""4"": 1, ""6"": 2, ""3"": 3, ""5"": 3, ""2"": 2, ""7"": 1, ""0"": 1, ""1"": 1}",40320,160,out_dataset\three_color\graph_29.png,4,2.75,3,6,5,0,0,2,"[6, 2]",0.39285714285714285
30,8,7,"[[0, 2], [0, 6], [2, 5], [3, 4], [3, 7], [4, 7], [6, 7]]",2,"[0, 2, 5, 1, 6, 3, 7, 4]","{""6"": 1, ""0"": 1, ""1"": 2, ""2"": 2, ""3"": 2, ""5"": 2, ""7"": 1, ""4"": 2}",40320,360,out_dataset\two_color\graph_30.png,3,1.75,3,6,1,0,1,2,"[7, 1]",0.25
31,8,8,"[[0, 1], [2, 3], [2, 4], [2, 7], [3, 7], [4, 5], [5, 6], [6, 7]]",2,"[0, 1, 3, 2, 7, 4, 5, 6]","{""7"": 1, ""2"": 2, ""4"": 2, ""5"": 2, ""6"": 1, ""3"": 1, ""0"": 1, ""1"": 1}",40320,64,out_dataset\two_color\graph_31.png,3,2.0,3,6,2,0,0,2,"[6, 2]",0.2857142857142857
32,8,9,"[[0, 1], [0, 7], [1, 5], [2, 3], [2, 4], [2, 6], [2, 7], [3, 4], [4, 5]]",2,"[0, 1, 5, 7, 4, 2, 3, 6]","{""7"": 1, ""0"": 1, ""1"": 2, ""2"": 1, ""3"": 2, ""4"": 2, ""5"": 2, ""6"": 1}",40320,16,out_dataset\two_color\graph_32.png,4,2.25,3,7,2,0,0,1,[8],0.32142857142857145
33,8,10,"[[0, 1], [0, 3], [0, 7], [1, 2], [1, 3], [1, 5], [1, 7], [2, 5], [2, 6], [5, 6]]",3,"[0, 3, 1, 2, 7, 4, 5, 6]","{""1"": 1, ""2"": 2, ""7"": 3, ""4"": 3, ""5"": 1, ""0"": 3, ""3"": 2, ""6"": 2}",40320,728,out_dataset\three_color\graph_33.png,5,2.5,3,7,4,1,1,2,"[7, 1]",0.35714285714285715
34,8,4,"[[1, 3], [2, 6], [5, 6], [6, 7]]",2,"[0, 1, 2, 3, 4, 5, 6, 7]","{""2"": 1, ""6"": 1, ""3"": 2, ""4"": 2, ""5"": 2, ""1"": 2, ""0"": 1, ""7"": 1}",40320,4896,out_dataset\two_color\graph_34.png,3,1.0,2,1,1,0,2,4,"[4, 2, 1, 1]",0.14285714285714285
35,8,8,"[[0, 4], [0, 5], [0, 7], [2, 3], [2, 5], [2, 6], [3, 5], [4, 6]]",2,"[1, 3, 2, 5, 6, 0, 4, 7]","{""0"": 1, ""4"": 2, ""6"": 2, ""5"": 1, ""2"": 2, ""3"": 1, ""7"": 1, ""1"": 1}",40320,24,out_dataset\two_color\graph_35.png,3,2.0,3,6,3,0,1,2,"[7, 1]",0.2857142857142857
36,8,11,"[[0, 2], [1, 2], [1, 4], [1, 6], [2, 4], [2, 5], [2, 7], [3, 4], [4, 6], [5, 6], [5, 7]]",3,"[0, 1, 6, 2, 4, 3, 5, 7]","{""2"": 1, ""6"": 2, ""3"": 3, ""4"": 3, ""5"": 2, ""1"": 3, ""7"": 1, ""0"": 1}",40320,126,out_dataset\three_color\graph_36.png,5,2.75,3,6,5,1,0,1,[8],0.39285714285714285
37,8,10,"[[0, 3], [0, 5], [1, 4], [2, 4], [2, 6], [3, 4], [3, 6], [3, 7], [4, 6], [6, 7]]",2,"[0, 5, 7, 3, 6, 4, 2, 1]","{""3"": 1, ""5"": 2, ""0"": 1, ""6"": 2, ""4"": 1, ""2"": 2, ""7"": 2, ""1"": 1}",40320,4,out_dataset\two_color\graph_37.png,4,2.5,3,6,3,0,0,1,[8],0.35714285714285715
38,8,9,"[[0, 3], [1, 2], [1, 6], [2, 5], [3, 4], [3, 5], [3, 6], [5, 7], [6, 7]]",3,"[0, 1, 2, 3, 5, 6, 4, 7]","{""6"": 1, ""1"": 1, ""2"": 2, ""3"": 3, ""5"": 2, ""4"": 3, ""0"": 3, ""7"": 2}",40320,1088,out_dataset\three_color\graph_38.png,4,2.25,2,6,3,0,0,1,[8],0.32142857142857145
39,8,13,"[[0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [1, 3], [1, 7], [2, 4], [2, 5], [2, 6], [3, 5], [5, 6], [6, 7]]",3,"[1, 3, 7, 5, 0, 6, 2, 4]","{""0"": 1, ""5"": 2, ""6"": 3, ""2"": 2, ""3"": 1, ""7"": 3, ""4"": 1, ""1"": 2}",40320,32,out_dataset\three_color\graph_39.png,5,3.25,4,8,5,1,0,1,[8],0.4642857142857143
40,8,13,"[[0, 3], [0, 4], [0, 6], [1, 2], [1, 3], [1, 6], [1, 7], [2, 3], [2, 6], [2, 7], [3, 4], [4, 7], [6, 7]]",4,"[0, 3, 1, 4, 2, 6, 7, 5]","{""4"": 1, ""1"": 2, ""2"": 3, ""6"": 4, ""0"": 4, ""3"": 3, ""7"": 2, ""5"": 1}",40320,1320,out_dataset\other_color\graph_40.png,4,3.25,4,7,7,0,1,2,"[7, 1]",0.4642857142857143
41,8,10,"[[0, 1], [0, 3], [1, 2], [1, 5], [1, 6], [1, 7], [3, 6], [3, 7], [4, 7], [6, 7]]",3,"[0, 2, 3, 1, 6, 7, 4, 5]","{""1"": 1, ""3"": 2, ""6"": 3, ""2"": 3, ""5"": 1, ""7"": 2, ""0"": 1, ""4"": 2}",40320,292,out_dataset\three_color\graph_41.png,5,2.5,3,5,4,1,0,1,[8],0.35714285714285715
42,8,12,"[[0, 3], [0, 4], [0, 6], [0, 7], [1, 2], [1, 7], [2, 4], [2, 6], [3, 7], [4, 7], [5, 6], [5, 7]]",3,"[1, 2, 4, 6, 7, 0, 5, 3]","{""7"": 1, ""0"": 2, ""4"": 2, ""6"": 3, ""1"": 1, ""2"": 3, ""5"": 3, ""3"": 1}",40320,6,out_dataset\three_color\graph_42.png,5,3.0,3,8,5,1,0,1,[8],0.42857142857142855
43,8,10,"[[0, 3], [0, 5], [0, 7], [2, 4], [2, 7], [3, 4], [3, 5], [3, 6], [5, 6], [5, 7]]",3,"[0, 5, 3, 7, 2, 6, 1, 4]","{""3"": 1, ""2"": 2, ""4"": 1, ""5"": 3, ""6"": 3, ""7"": 2, ""1"": 3, ""0"": 2}",40320,466,out_dataset\three_color\graph_43.png,4,2.5,3,7,4,0,1,2,"[7, 1]",0.35714285714285715
44,8,10,"[[0, 2], [0, 3], [0, 4], [0, 7], [1, 2], [2, 3], [2, 4], [2, 5], [3, 5], [5, 6]]",3,"[1, 3, 2, 0, 5, 4, 6, 7]","{""0"": 1, ""4"": 2, ""5"": 3, ""2"": 2, ""3"": 3, ""6"": 3, ""7"": 1, ""1"": 1}",40320,492,out_dataset\three_color\graph_44.png,5,2.5,3,5,4,1,0,1,[8],0.35714285714285715
45,8,10,"[[0, 2], [0, 5], [1, 3], [1, 4], [1, 5], [2, 3], [3, 5], [3, 6], [5, 6], [6, 7]]",3,"[0, 2, 1, 3, 5, 4, 6, 7]","{""5"": 1, ""1"": 2, ""3"": 3, ""0"": 1, ""2"": 3, ""4"": 2, ""6"": 3, ""7"": 1}",40320,672,out_dataset\three_color\graph_45.png,4,2.5,3,6,4,0,0,1,[8],0.35714285714285715
46,8,8,"[[0, 5], [1, 4], [1, 6], [2, 4], [2, 7], [3, 5], [4, 6], [6, 7]]",2,"[0, 3, 5, 1, 4, 6, 2, 7]","{""2"": 1, ""3"": 1, ""4"": 1, ""6"": 2, ""0"": 2, ""1"": 2, ""5"": 2, ""7"": 2}",40320,96,out_dataset\two_color\graph_46.png,3,2.0,3,6,2,0,0,2,"[5, 3]",0.2857142857142857
47,8,8,"[[0, 2], [0, 6], [0, 7], [1, 2], [2, 4], [2, 6], [5, 6], [6, 7]]",2,"[1, 3, 4, 2, 0, 6, 7, 5]","{""2"": 1, ""0"": 2, ""1"": 1, ""3"": 2, ""4"": 2, ""6"": 1, ""7"": 2, ""5"": 1}",40320,16,out_dataset\two_color\graph_47.png,4,2.0,3,4,3,0,1,2,"[7, 1]",0.2857142857142857
48,8,14,"[[0, 3], [0, 4], [0, 6], [0, 7], [1, 5], [1, 6], [2, 5], [2, 6], [3, 4], [3, 6], [4, 5], [4, 6], [4, 7], [6, 7]]",4,"[0, 3, 4, 6, 1, 7, 2, 5]","{""1"": 1, ""4"": 2, ""6"": 3, ""7"": 4, ""0"": 4, ""2"": 3, ""3"": 1, ""5"": 2}",40320,928,out_dataset\other_color\graph_48.png,6,3.5,4,8,6,2,0,1,[8],0.5
49,8,13,"[[0, 1], [0, 7], [1, 2], [1, 4], [1, 5], [1, 6], [1, 7], [2, 4], [2, 6], [3, 5], [3, 7], [4, 7], [5, 7]]",3,"[0, 3, 7, 5, 1, 2, 4, 6]","{""1"": 1, ""7"": 2, ""2"": 3, ""4"": 2, ""5"": 3, ""0"": 1, ""3"": 3, ""6"": 1}",40320,60,out_dataset\three_color\graph_49.png,6,3.25,3,8,5,2,0,1,[8],0.4642857142857143
50,8,11,"[[0, 1], [0, 4], [0, 5], [0, 6], [0, 7], [1, 5], [2, 4], [2, 6], [3, 4], [5, 7], [6, 7]]",3,"[1, 3, 4, 5, 0, 2, 7, 6]","{""0"": 1, ""5"": 2, ""2"": 3, ""1"": 1, ""3"": 3, ""4"": 3, ""7"": 2, ""6"": 1}",40320,348,out_dataset\three_color\graph_50.png,5,2.75,3,7,5,1,0,1,[8],0.39285714285714285
51,8,9,"[[0, 2], [0, 4], [1, 4], [1, 6], [2, 3], [2, 7], [4, 6], [4, 7], [5, 6]]",2,"[3, 0, 2, 7, 4, 1, 6, 5]","{""0"": 1, ""4"": 1, ""1"": 2, ""2"": 2, ""7"": 2, ""3"": 2, ""6"": 1, ""5"": 1}",40320,16,out_dataset\two_color\graph_51.png,4,2.25,3,6,3,0,0,1,[8],0.32142857142857145
52,8,11,"[[0, 1], [0, 4], [0, 6], [1, 4], [2, 5], [2, 6], [2, 7], [4, 5], [4, 6], [4, 7], [6, 7]]",3,"[0, 1, 4, 5, 2, 6, 7, 3]","{""4"": 1, ""6"": 2, ""0"": 2, ""2"": 3, ""5"": 3, ""1"": 3, ""7"": 1, ""3"": 1}",40320,202,out_dataset\three_color\graph_52.png,5,2.75,3,7,5,1,1,2,"[7, 1]",0.39285714285714285
53,8,8,"[[0, 3], [1, 6], [1, 7], [2, 5], [2, 7], [3, 4], [3, 6], [6, 7]]",2,"[0, 3, 4, 1, 6, 7, 2, 5]","{""6"": 1, ""1"": 2, ""3"": 1, ""4"": 2, ""7"": 2, ""0"": 1, ""2"": 1, ""5"": 1}",40320,64,out_dataset\two_color\graph_53.png,3,2.0,3,5,3,0,0,1,[8],0.2857142857142857
54,8,6,"[[0, 5], [0, 7], [1, 6], [2, 3], [3, 5], [4, 5]]",2,"[0, 7, 1, 6, 2, 3, 5, 4]","{""0"": 1, ""5"": 1, ""1"": 2, ""2"": 2, ""3"": 2, ""6"": 2, ""7"": 2, ""4"": 1}",40320,1120,out_dataset\two_color\graph_54.png,3,1.5,2,3,1,0,0,2,"[6, 2]",0.21428571428571427
55,8,11,"[[0, 3], [1, 3], [1, 4], [1, 6], [1, 7], [2, 3], [2, 4], [2, 7], [5, 6], [5, 7], [6, 7]]",3,"[0, 2, 3, 1, 4, 5, 7, 6]","{""2"": 1, ""4"": 2, ""7"": 1, ""1"": 3, ""5"": 2, ""3"": 3, ""6"": 3, ""0"": 2}",40320,258,out_dataset\three_color\graph_55.png,4,2.75,3,7,5,0,0,1,[8],0.39285714285714285
56,8,7,"[[1, 2], [2, 3], [2, 4], [2, 7], [3, 6], [5, 6], [6, 7]]",2,"[0, 1, 4, 2, 3, 6, 7, 5]","{""2"": 1, ""7"": 1, ""3"": 2, ""4"": 2, ""6"": 2, ""1"": 1, ""5"": 2, ""0"": 1}",40320,64,out_dataset\two_color\graph_56.png,4,1.75,2,4,2,0,1,2,"[7, 1]",0.25
57,8,10,"[[0, 2], [0, 3], [1, 3], [1, 4], [1, 5], [2, 3], [2, 4], [2, 7], [4, 7], [5, 7]]",3,"[0, 2, 3, 1, 4, 5, 7, 6]","{""2"": 1, ""4"": 2, ""7"": 1, ""1"": 3, ""3"": 3, ""5"": 3, ""0"": 2, ""6"": 1}",40320,312,out_dataset\three_color\graph_57.png,4,2.5,3,7,5,0,1,2,"[7, 1]",0.35714285714285715
58,8,8,"[[0, 1], [1, 2], [2, 4], [2, 7], [4, 6], [4, 7], [5, 7], [6, 7]]",2,"[0, 1, 2, 4, 7, 6, 3, 5]","{""7"": 1, ""3"": 2, ""4"": 2, ""5"": 1, ""6"": 2, ""2"": 1, ""0"": 1, ""1"": 1}",40320,44,out_dataset\two_color\graph_58.png,4,2.0,3,5,3,0,1,2,"[7, 1]",0.2857142857142857
59,8,16,"[[0, 3], [0, 4], [0, 7], [1, 4], [1, 5], [1, 6], [1, 7], [2, 3], [2, 5], [2, 7], [3, 4], [3, 5], [3, 6], [4, 5], [4, 7], [6, 7]]",4,"[0, 2, 3, 4, 7, 5, 1, 6]","{""3"": 1, ""4"": 2, ""7"": 3, ""5"": 4, ""1"": 2, ""2"": 4, ""6"": 1, ""0"": 3}",40320,64,out_dataset\other_color\graph_59.png,5,4.0,3,8,8,3,0,1,[8],0.5714285714285714
60,8,10,"[[0, 1], [1, 2], [1, 3], [1, 4], [2, 5], [3, 6], [4, 6], [5, 6], [5, 7], [6, 7]]",3,"[0, 1, 2, 3, 4, 5, 6, 7]","{""3"": 1, ""4"": 2, ""2"": 3, ""5"": 3, ""6"": 1, ""1"": 2, ""7"": 2, ""0"": 1}",40320,400,out_dataset\three_color\graph_60.png,4,2.5,3,7,3,0,0,1,[8],0.35714285714285715
61,8,7,"[[0, 3], [1, 4], [1, 7], [2, 7], [3, 4], [3, 7], [4, 6]]",2,"[0, 2, 3, 7, 1, 4, 5, 6]","{""3"": 1, ""4"": 1, ""1"": 2, ""2"": 2, ""5"": 2, ""7"": 2, ""0"": 1, ""6"": 1}",40320,128,out_dataset\two_color\graph_61.png,3,1.75,2,4,3,0,1,2,"[7, 1]",0.25
62,8,11,"[[0, 2], [0, 4], [1, 2], [1, 3], [1, 5], [1, 7], [2, 3], [2, 7], [3, 7], [4, 5], [5, 7]]",3,"[0, 4, 5, 1, 2, 7, 3, 6]","{""2"": 1, ""1"": 2, ""0"": 1, ""5"": 3, ""7"": 3, ""3"": 2, ""4"": 2, ""6"": 1}",40320,156,out_dataset\three_color\graph_62.png,4,2.75,4,7,5,0,1,2,"[7, 1]",0.39285714285714285
